GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
COUNTRIES,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1317560,791861,60
COUNTRIES,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1317560,1278491,97
COUNTRIES,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1286679,1183570,91.99
COUNTRIES,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1286679,734030,57.05
COUNTRIES,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1256974,677890,54
COUNTRIES,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1256974,1067415,85
COUNTRIES,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1227588,584711,48
COUNTRIES,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1227588,1000611,82
COUNTRIES,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1198817,555989,46
COUNTRIES,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1198817,946750.7333,79
COUNTRIES,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1172935,895505,76
COUNTRIES,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1172935,474710,40
COUNTRIES,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1145444,857008,75
COUNTRIES,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1145444,449578,39
COUNTRIES,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1083802,762743,70
COUNTRIES,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1083802,169952,15.68
COUNTRIES,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1059772,725610,68
COUNTRIES,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1058824,272478,26
COUNTRIES,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1045188,666149,64
COUNTRIES,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1045188,139334,13
COUNTRIES,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,989037,22224,2.2
COUNTRIES,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1002889,605909,60
COUNTRIES,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,965857,480272,49.7
COUNTRIES,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,943215,412501,43.7
COUNTRIES,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,747690,417192,56
COUNTRIES,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,901328,319472,35
COUNTRIES,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,AFG,Afghanistan,2022,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
COUNTRIES,AFG,Afghanistan,2022,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,79.39
COUNTRIES,AFG,Afghanistan,2021,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,74.27
COUNTRIES,AFG,Afghanistan,2021,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,54.61
COUNTRIES,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,53.92
COUNTRIES,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,76.71
COUNTRIES,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,75
COUNTRIES,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,52
COUNTRIES,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
COUNTRIES,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,82
COUNTRIES,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,78
COUNTRIES,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,51
COUNTRIES,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,51.4
COUNTRIES,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,74.5
COUNTRIES,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
COUNTRIES,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,90
COUNTRIES,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,88
COUNTRIES,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
COUNTRIES,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,82
COUNTRIES,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,56
COUNTRIES,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,81
COUNTRIES,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,54
COUNTRIES,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,48
COUNTRIES,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,75
COUNTRIES,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,46
COUNTRIES,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,62
COUNTRIES,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,40
COUNTRIES,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,60
COUNTRIES,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,59
COUNTRIES,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,39
COUNTRIES,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,55
COUNTRIES,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,16
COUNTRIES,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,53
COUNTRIES,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,50
COUNTRIES,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,2.2
COUNTRIES,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,48
COUNTRIES,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,39
COUNTRIES,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,35
COUNTRIES,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,37
COUNTRIES,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,27
COUNTRIES,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,AFG,Afghanistan,2022,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,68
COUNTRIES,AFG,Afghanistan,2022,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,49
COUNTRIES,AFG,Afghanistan,2021,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,44
COUNTRIES,AFG,Afghanistan,2021,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,63
COUNTRIES,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,43
COUNTRIES,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,66
COUNTRIES,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
COUNTRIES,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,41
COUNTRIES,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,71
COUNTRIES,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,49
COUNTRIES,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,67
COUNTRIES,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,40
COUNTRIES,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,40
COUNTRIES,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
COUNTRIES,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,42
COUNTRIES,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,62
COUNTRIES,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,60
COUNTRIES,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,44
COUNTRIES,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,57
COUNTRIES,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,38
COUNTRIES,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,59
COUNTRIES,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,33
COUNTRIES,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
COUNTRIES,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,31
COUNTRIES,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,29
COUNTRIES,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,62
COUNTRIES,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,60
COUNTRIES,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,24
COUNTRIES,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,23
COUNTRIES,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,59
COUNTRIES,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,55
COUNTRIES,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,4
COUNTRIES,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,18
COUNTRIES,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,53
COUNTRIES,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,50
COUNTRIES,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,9
COUNTRIES,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,48
COUNTRIES,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,2
COUNTRIES,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
COUNTRIES,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,39
COUNTRIES,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
COUNTRIES,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,35
COUNTRIES,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,37
COUNTRIES,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
COUNTRIES,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
COUNTRIES,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,27
COUNTRIES,ALB,Albania,2022,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,27324,25366,92.83
COUNTRIES,ALB,Albania,2022,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,26167,22430,85.72
COUNTRIES,ALB,Albania,2021,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,29544,27078,91.65
COUNTRIES,ALB,Albania,2021,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,26739,23160,86.62
COUNTRIES,ALB,Albania,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,28075,25554,91.02
COUNTRIES,ALB,Albania,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,29792,28025,94.07
COUNTRIES,ALB,Albania,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,32172,30957,96.22
COUNTRIES,ALB,Albania,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,28064,26655,94.98
COUNTRIES,ALB,Albania,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,33086,31856,96.28
COUNTRIES,ALB,Albania,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,29425,27677,94.06
COUNTRIES,ALB,Albania,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,30369,29052,95.66
COUNTRIES,ALB,Albania,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34217,33504,97.92
COUNTRIES,ALB,Albania,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,31435,30280,96.3
COUNTRIES,ALB,Albania,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34480,33683,97.7
COUNTRIES,ALB,Albania,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33032,32074,97
COUNTRIES,ALB,Albania,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,35178,34387,98
COUNTRIES,ALB,Albania,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34577,33816,97.8
COUNTRIES,ALB,Albania,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35083,34241,97.6
COUNTRIES,ALB,Albania,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34400,33940,98.7
COUNTRIES,ALB,Albania,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,36200,35730,98.7
COUNTRIES,ALB,Albania,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34237,33776,98.65
COUNTRIES,ALB,Albania,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,36232,35683,98.48
COUNTRIES,ALB,Albania,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35351,34995,98.9
COUNTRIES,ALB,Albania,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,35428,35063,98.9
COUNTRIES,ALB,Albania,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34390,33874,98.5
COUNTRIES,ALB,Albania,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33891,33518,98.9
COUNTRIES,ALB,Albania,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33686,32684,97
COUNTRIES,ALB,Albania,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,38199,37477,98.1
COUNTRIES,ALB,Albania,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35682,34986,98
COUNTRIES,ALB,Albania,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,41381,40427,97.7
COUNTRIES,ALB,Albania,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,37762,36717,97
COUNTRIES,ALB,Albania,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,40326,38466,95.4
COUNTRIES,ALB,Albania,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,46707,43671,93.9
COUNTRIES,ALB,Albania,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,39230,37202,95
COUNTRIES,ALB,Albania,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,49335,47664,96.6
COUNTRIES,ALB,Albania,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,42425,41238,97
COUNTRIES,ALB,Albania,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,46495,44714,96.2
COUNTRIES,ALB,Albania,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,50821,48625,95.7
COUNTRIES,ALB,Albania,2003,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,54801,51055,93.2
COUNTRIES,ALB,Albania,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,44022,41020,93.2
COUNTRIES,ALB,Albania,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,53087,50704,96
COUNTRIES,ALB,Albania,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,54109,50450,93
COUNTRIES,ALB,Albania,2001,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,31627,30063,95
COUNTRIES,ALB,Albania,2001,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,39451,35098,88.9
COUNTRIES,ALB,Albania,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,44282,40506,91.5
COUNTRIES,ALB,Albania,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
COUNTRIES,ALB,Albania,2022,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,
COUNTRIES,ALB,Albania,2022,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,ALB,Albania,2021,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
COUNTRIES,ALB,Albania,2021,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,
COUNTRIES,ALB,Albania,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,91.02
COUNTRIES,ALB,Albania,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,94.07
COUNTRIES,ALB,Albania,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.2
COUNTRIES,ALB,Albania,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.9
COUNTRIES,ALB,Albania,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.3
COUNTRIES,ALB,Albania,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.1
COUNTRIES,ALB,Albania,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95.7
COUNTRIES,ALB,Albania,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.9
COUNTRIES,ALB,Albania,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.7
COUNTRIES,ALB,Albania,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.3
COUNTRIES,ALB,Albania,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.8
COUNTRIES,ALB,Albania,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97.1
